date,equity,cash,positions,regime_on,returns
2010-01-04,19860.83617361069,28.070895748140174,4,True,
2010-01-08,21043.678329067232,28.070895748140174,4,True,0.05955651338729617
2010-01-15,20558.48842884541,3.3647916460058696,4,True,-0.023056325640163355
2010-01-22,19362.598516983988,57.476422352793634,4,True,-0.05817012841194491
2010-01-29,19699.59616789818,1.0303481578854985,5,True,0.01740456739928753
2010-02-05,18945.655670499804,1.0303481578854985,5,True,-0.03827187577717828
2010-02-12,18361.507884497645,16.144211287502003,4,True,-0.0308328091759702
2010-02-19,19152.885757197742,1.1772247451579112,5,True,0.04309983023606945
2010-02-26,18285.51000260294,1.1772247451579112,5,True,-0.04528694869225325
2010-03-05,19254.5088394779,1.1772247451579112,5,True,0.052992715912054233
2010-03-12,19527.904155482654,1.1772247451579112,5,True,0.014199028304695327
2010-03-19,19639.420182933216,1.1772247451579112,5,True,0.005710598872396222
2010-03-26,21018.562145699863,1.1772247451579112,5,True,0.07022315067962803
2010-04-06,21708.17270265997,1.1772247451579112,5,True,0.03280959716367615
2010-04-09,21705.030760746005,-3.952323932644175,4,True,-0.0001447354393665501
2010-04-16,21509.94504735947,-3.952323932644175,4,True,-0.008988041322629758
2010-04-23,23301.287063579563,-3.952323932644175,4,True,0.08327971142074087
2010-04-30,23067.242886524204,-3.952323932644175,4,True,-0.010044259633244734
2010-05-07,19873.208044214254,13360.208044214252,1,False,-0.13846625962289982
2010-05-14,20528.40993181706,4.2874523782782035,4,True,0.03296910524687813
2010-05-21,19364.33310337544,31.843201832776458,4,True,-0.05670564998984218
2010-05-28,20044.393350796705,31.843201832776458,4,True,0.03511921860622835
2010-06-04,20286.31796665669,31.843201832776458,4,True,0.012069440647370255
2010-06-11,20766.62358593822,1.828626631503493,5,True,0.023676332988124216
2010-06-18,20604.368413685566,1.828626631503493,5,True,-0.007813266878999192
2010-06-25,20574.0154259193,1.828626631503493,5,True,-0.0014731336169521159
2010-07-02,20269.622063196904,6937.525499857669,4,False,-0.014795039102523444
2010-07-09,19945.924304016833,1218.1204998576695,5,True,-0.015969600132199946
2010-07-16,20231.704316862826,1218.1204998576695,5,True,0.014327739767288739
2010-07-23,20404.429926403765,1218.1204998576695,5,True,0.008537373166183304
2010-07-30,21299.089722403292,1218.1204998576695,5,True,0.04384635097508016
2010-08-06,21074.33574462772,1218.1204998576695,5,True,-0.010552280905186673
2010-08-13,21019.190012940173,1218.1204998576695,5,True,-0.0026167245485592128
2010-08-20,20774.15100289226,1218.1204998576695,5,True,-0.011657871207075954
2010-08-27,20143.449131841666,13015.544222707755,2,False,-0.030359934851864057
2010-09-03,20153.348447823533,1.8086910486297256,5,True,0.000491440960139089
2010-09-10,20582.038715863237,1.8086910486297256,5,True,0.021271416467073534
2010-09-17,21632.728648686418,1.8086910486297256,5,True,0.051048875542799355
2010-09-24,22399.568565392503,1.8086910486297256,5,True,0.0354481364399053
2010-10-01,22823.593490624437,1.8086910486297256,5,True,0.0189300487638433
2010-10-08,22651.883957409867,1.8086910486297256,5,True,-0.007523334714364949
2010-10-15,22554.49369623662,1.8086910486297256,5,True,-0.004299433166634725
2010-10-22,22343.6635742426,1.8086910486297256,5,True,-0.009347588326897194
2010-10-29,22629.76502558709,38.49006125451069,5,True,0.012804590007983396
2010-11-05,22649.509868116387,38.49006125451069,5,True,0.0008725164625869031
2010-11-12,21895.898901233682,874.1390163993938,5,True,-0.03327272736897324
2010-11-19,23069.90387655259,874.1390163993938,5,True,0.05361757380295362
2010-11-26,23909.979019413004,874.1390163993938,5,True,0.03641433216868473
2010-12-03,24671.868795642862,874.1390163993938,5,True,0.031864928681504257
2010-12-10,25703.98923040391,874.1390163993938,5,True,0.04183389767958401
2010-12-17,26032.65871263505,874.1390163993938,5,True,0.01278671101536144
